algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
Xu2021 observation-free TS,3,1.5,0.12723499506303776,0.08482333004202518,ok,15080.0
UCB appendix,3,2.0,0.16964666008405035,0.08482333004202518,ok,7856
UCB direct,3,2.0,0.16964666008405035,0.08482333004202518,ok,7828
TS appendix,3,2.0,0.16964666008405035,0.08482333004202518,ok,23940
TS direct,3,2.0,0.16964666008405035,0.08482333004202518,ok,23694
Xu2021 observation-free UCB,3,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,3,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,3,3.0,0.2544699901260755,0.08482333004202518,ok,3710
UCB direct,3,3.0,0.2544699901260755,0.08482333004202518,ok,3698
TS appendix,3,3.0,0.2544699901260755,0.08482333004202518,ok,11330
TS direct,3,3.0,0.2544699901260755,0.08482333004202518,ok,11320
Xu2021 observation-free UCB,3,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,3,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,3,4.0,0.3392933201681007,0.08482333004202518,ok,2165
UCB direct,3,4.0,0.3392933201681007,0.08482333004202518,ok,2156
TS appendix,3,4.0,0.3392933201681007,0.08482333004202518,ok,6751
TS direct,3,4.0,0.3392933201681007,0.08482333004202518,ok,6741
Xu2021 observation-free UCB,3,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,3,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,3,5.0,0.4241166502101259,0.08482333004202518,ok,1421
UCB direct,3,5.0,0.4241166502101259,0.08482333004202518,ok,1413
TS appendix,3,5.0,0.4241166502101259,0.08482333004202518,ok,4580
TS direct,3,5.0,0.4241166502101259,0.08482333004202518,ok,4570
Xu2021 observation-free UCB,3,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,3,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,3,6.0,0.508939980252151,0.08482333004202518,ok,1008
UCB direct,3,6.0,0.508939980252151,0.08482333004202518,ok,999
TS appendix,3,6.0,0.508939980252151,0.08482333004202518,ok,3385
TS direct,3,6.0,0.508939980252151,0.08482333004202518,ok,3376
Xu2021 observation-free UCB,3,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,3,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,4,0.0,0.0,0.08482333004202518,ok,41906
UCB direct,4,0.0,0.0,0.08482333004202518,ok,36879
TS appendix,4,0.0,0.0,0.08482333004202518,ok,64823
TS direct,4,0.0,0.0,0.08482333004202518,ok,53612
Xu2021 observation-free UCB,4,0.0,0.0,0.08482333004202518,infeasible,
Xu2021 observation-free TS,4,0.0,0.0,0.08482333004202518,infeasible,
UCB appendix,4,0.1,0.008482333004202518,0.08482333004202518,ok,39993
UCB direct,4,0.1,0.008482333004202518,0.08482333004202518,ok,35484
TS appendix,4,0.1,0.008482333004202518,0.08482333004202518,ok,62791
TS direct,4,0.1,0.008482333004202518,0.08482333004202518,ok,52360
Xu2021 observation-free UCB,4,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
Xu2021 observation-free TS,4,0.1,0.008482333004202518,0.08482333004202518,infeasible,3392934.0
UCB appendix,4,0.2,0.016964666008405037,0.08482333004202518,ok,38078
UCB direct,4,0.2,0.016964666008405037,0.08482333004202518,ok,34064
TS appendix,4,0.2,0.016964666008405037,0.08482333004202518,ok,60757
TS direct,4,0.2,0.016964666008405037,0.08482333004202518,ok,51086
Xu2021 observation-free UCB,4,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
Xu2021 observation-free TS,4,0.2,0.016964666008405037,0.08482333004202518,infeasible,848234.0
UCB appendix,4,0.3,0.025446999012607552,0.08482333004202518,ok,36160
UCB direct,4,0.3,0.025446999012607552,0.08482333004202518,ok,32621
TS appendix,4,0.3,0.025446999012607552,0.08482333004202518,ok,58723
