algorithm,repeat,multiplier,Delta_K,S_T_over_T,status,cost
TS direct,2,2.0,0.16964666008405035,0.08482333004202518,ok,23736
Xu2021 observation-free UCB,2,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
Xu2021 observation-free TS,2,2.0,0.16964666008405035,0.08482333004202518,ok,8484.0
UCB appendix,2,3.0,0.2544699901260755,0.08482333004202518,ok,3739
UCB direct,2,3.0,0.2544699901260755,0.08482333004202518,ok,3724
TS appendix,2,3.0,0.2544699901260755,0.08482333004202518,ok,11363
TS direct,2,3.0,0.2544699901260755,0.08482333004202518,ok,11350
Xu2021 observation-free UCB,2,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
Xu2021 observation-free TS,2,3.0,0.2544699901260755,0.08482333004202518,ok,3770.0
UCB appendix,2,4.0,0.3392933201681007,0.08482333004202518,ok,2187
UCB direct,2,4.0,0.3392933201681007,0.08482333004202518,ok,2178
TS appendix,2,4.0,0.3392933201681007,0.08482333004202518,ok,6774
TS direct,2,4.0,0.3392933201681007,0.08482333004202518,ok,6764
Xu2021 observation-free UCB,2,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
Xu2021 observation-free TS,2,4.0,0.3392933201681007,0.08482333004202518,ok,2122.0
UCB appendix,2,5.0,0.4241166502101259,0.08482333004202518,ok,1439
UCB direct,2,5.0,0.4241166502101259,0.08482333004202518,ok,1430
TS appendix,2,5.0,0.4241166502101259,0.08482333004202518,ok,4598
TS direct,2,5.0,0.4241166502101259,0.08482333004202518,ok,4587
Xu2021 observation-free UCB,2,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
Xu2021 observation-free TS,2,5.0,0.4241166502101259,0.08482333004202518,ok,1358.0
UCB appendix,2,6.0,0.508939980252151,0.08482333004202518,ok,1022
UCB direct,2,6.0,0.508939980252151,0.08482333004202518,ok,1013
TS appendix,2,6.0,0.508939980252151,0.08482333004202518,ok,3403
TS direct,2,6.0,0.508939980252151,0.08482333004202518,ok,3390
Xu2021 observation-free UCB,2,6.0,0.508939980252151,0.08482333004202518,ok,944.0
Xu2021 observation-free TS,2,6.0,0.508939980252151,0.08482333004202518,ok,944.0
UCB appendix,3,0.0,0.0,0.08482333004202518,ok,41862
