algorithm,repeat,T,status,native_cost,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost,sample_equivalent_cost
Zuo2024 clipped TS,4,550000,failed,136614,0.6866563636363636,,377661,172339,3.202405749174372e+18,3.202405749174512e+18,
Xu2021 observation-free UCB,4,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,4,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Jun2018 clipped UCB,4,700000,failed,308035,0.44510285714285713,,311572,388428,148599505.32570633,148907540.32570568,
Zuo2024 clipped TS,4,700000,failed,146722,0.7356657142857143,,514966,185034,3.691532754927271e+18,3.69153275492742e+18,
Xu2021 observation-free UCB,4,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Xu2021 observation-free TS,4,700000,infeasible,969038.0,,,,,0.0,969038.0,9690380.0
Jun2018 clipped UCB,4,850000,failed,342532,0.49116,,417486,432514,158734216.84836042,159076748.84836012,
Zuo2024 clipped TS,4,850000,failed,155336,0.7695329411764706,,654103,195897,4.137670116742027e+18,4.137670116742184e+18,
Xu2021 observation-free UCB,4,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Xu2021 observation-free TS,4,850000,infeasible,983016.0,,,,,0.0,983016.0,9830160.0
Jun2018 clipped UCB,4,1000000,failed,374034,0.527504,,527504,472496,168074851.03200328,168448885.03200346,
Zuo2024 clipped TS,4,1000000,failed,162720,0.794374,,794374,205626,4.5588388631031393e+18,4.558838863103307e+18,
Xu2021 observation-free UCB,4,1000000,simulated,994718.0,0.552376,1.0,552376,447624,0.0,994718.0,9947180.0
Xu2021 observation-free TS,4,1000000,simulated,994718.0,0.552213,1.0,552213,447787,0.0,994718.0,9947180.0
Jun2018 clipped UCB,5,100000,failed,64842,0.18229,,18229,81771,26547959.60983491,26612801.609834842,
Zuo2024 clipped TS,5,100000,failed,54200,0.31629,,31629,68371,5.040728466101394e+17,5.04072846610194e+17,
Xu2021 observation-free UCB,5,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Xu2021 observation-free TS,5,100000,infeasible,828932.0,,,,,0.0,828932.0,8289320.0
Jun2018 clipped UCB,5,250000,failed,143831,0.273448,,68362,181638,71167414.49060069,71311245.49060045,
Zuo2024 clipped TS,5,250000,failed,95272,0.519716,,129929,120071,1.5545037278813215e+18,1.5545037278814162e+18,
Xu2021 observation-free UCB,5,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Xu2021 observation-free TS,5,250000,infeasible,894904.0,,,,,0.0,894904.0,8949040.0
Jun2018 clipped UCB,5,400000,failed,209234,0.339745,,135898,264102,103393949.43458235,103603183.43458226,
Zuo2024 clipped TS,5,400000,failed,120466,0.61985,,247940,152060,2.493068328852213e+18,2.4930683288523397e+18,
Xu2021 observation-free UCB,5,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Xu2021 observation-free TS,5,400000,infeasible,928744.0,,,,,0.0,928744.0,9287440.0
Jun2018 clipped UCB,5,550000,failed,260076,0.4041763636363636,,222297,327703,126857693.03686738,127117769.03686722,
Zuo2024 clipped TS,5,550000,failed,134080,0.6923272727272727,,380780,169220,3.08750427928836e+18,3.087504279288497e+18,
Xu2021 observation-free UCB,5,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
Xu2021 observation-free TS,5,550000,infeasible,951674.0,,,,,0.0,951674.0,9516740.0
