algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
UCB direct,8,30,ok,200000,54496,145504,54346,32465,21881,754.517241379,24467.282261,2.22117027221,0.194835787913,"{""n_1"": 759, ""n_10"": 759, ""n_11"": 739, ""n_12"": 749, ""n_13"": 749, ""n_14"": 759, ""n_15"": 749, ""n_16"": 759, ""n_17"": 749, ""n_18"": 749, ""n_19"": 739, ""n_2"": 769, ""n_20"": 749, ""n_21"": 749, ""n_22"": 749, ""n_23"": 759, ""n_24"": 759, ""n_25"": 749, ""n_26"": 749, ""n_27"": 739, ""n_28"": 749, ""n_29"": 749, ""n_3"": 769, ""n_30"": 32465, ""n_4"": 769, ""n_5"": 769, ""n_6"": 759, ""n_7"": 769, ""n_8"": 759, ""n_9"": 759}",759,769,769,769,769,759,769,759,759,759,739,749,749,759,749,759,749,749,739,749,749,749,759,759,749,749,739,749,749,32465,,,,,,,,,,,,,,,,,,,,
TS appendix,8,30,ok,200000,100971,99029,100821,62513,38308,1320.96551724,24467.282261,4.12064564116,0.222517692555,"{""n_1"": 1325, ""n_10"": 1325, ""n_11"": 1307, ""n_12"": 1316, ""n_13"": 1316, ""n_14"": 1325, ""n_15"": 1316, ""n_16"": 1325, ""n_17"": 1316, ""n_18"": 1316, ""n_19"": 1307, ""n_2"": 1334, ""n_20"": 1316, ""n_21"": 1316, ""n_22"": 1316, ""n_23"": 1325, ""n_24"": 1325, ""n_25"": 1316, ""n_26"": 1316, ""n_27"": 1307, ""n_28"": 1316, ""n_29"": 1316, ""n_3"": 1334, ""n_30"": 62513, ""n_4"": 1334, ""n_5"": 1334, ""n_6"": 1325, ""n_7"": 1334, ""n_8"": 1325, ""n_9"": 1325}",1325,1334,1334,1334,1334,1325,1334,1325,1325,1325,1307,1316,1316,1325,1316,1325,1316,1316,1307,1316,1316,1316,1325,1325,1316,1316,1307,1316,1316,62513,,,,,,,,,,,,,,,,,,,,
TS direct,8,30,ok,200000,76176,123824,76026,46289,29737,1025.4137931,24467.282261,3.10725152017,0.252700000049,"{""n_1"": 1029, ""n_10"": 1029, ""n_11"": 1013, ""n_12"": 1021, ""n_13"": 1021, ""n_14"": 1029, ""n_15"": 1021, ""n_16"": 1029, ""n_17"": 1021, ""n_18"": 1021, ""n_19"": 1013, ""n_2"": 1037, ""n_20"": 1021, ""n_21"": 1021, ""n_22"": 1021, ""n_23"": 1029, ""n_24"": 1029, ""n_25"": 1021, ""n_26"": 1021, ""n_27"": 1013, ""n_28"": 1021, ""n_29"": 1021, ""n_3"": 1037, ""n_30"": 46289, ""n_4"": 1037, ""n_5"": 1037, ""n_6"": 1029, ""n_7"": 1037, ""n_8"": 1029, ""n_9"": 1029}",1029,1037,1037,1037,1037,1029,1037,1029,1029,1029,1013,1021,1021,1029,1021,1029,1021,1021,1013,1021,1021,1021,1029,1029,1021,1021,1013,1021,1021,46289,,,,,,,,,,,,,,,,,,,,
UCB appendix,8,40,ok,200000,74646,125354,74446,44719,29727,762.230769231,26929.728668,2.76445414351,0.182734017722,"{""n_1"": 763, ""n_10"": 763, ""n_11"": 763, ""n_12"": 773, ""n_13"": 763, ""n_14"": 743, ""n_15"": 763, ""n_16"": 773, ""n_17"": 753, ""n_18"": 763, ""n_19"": 773, ""n_2"": 773, ""n_20"": 773, ""n_21"": 773, ""n_22"": 773, ""n_23"": 743, ""n_24"": 763, ""n_25"": 753, ""n_26"": 753, ""n_27"": 763, ""n_28"": 763, ""n_29"": 773, ""n_3"": 773, ""n_30"": 753, ""n_31"": 753, ""n_32"": 773, ""n_33"": 753, ""n_34"": 733, ""n_35"": 773, ""n_36"": 743, ""n_37"": 763, ""n_38"": 763, ""n_39"": 763, ""n_4"": 763, ""n_40"": 44719, ""n_5"": 743, ""n_6"": 773, ""n_7"": 763, ""n_8"": 773, ""n_9"": 773}",763,773,773,763,743,773,763,773,773,763,763,773,763,743,763,773,753,763,773,773,773,773,743,763,753,753,763,763,773,753,753,773,753,733,773,743,763,763,763,44719,,,,,,,,,,
UCB direct,8,40,ok,200000,60101,139899,59901,35592,24309,623.307692308,26929.728668,2.2243447284,0.215315739971,"{""n_1"": 624, ""n_10"": 624, ""n_11"": 624, ""n_12"": 633, ""n_13"": 624, ""n_14"": 606, ""n_15"": 624, ""n_16"": 633, ""n_17"": 615, ""n_18"": 624, ""n_19"": 633, ""n_2"": 633, ""n_20"": 633, ""n_21"": 633, ""n_22"": 633, ""n_23"": 606, ""n_24"": 624, ""n_25"": 615, ""n_26"": 615, ""n_27"": 624, ""n_28"": 624, ""n_29"": 633, ""n_3"": 633, ""n_30"": 615, ""n_31"": 615, ""n_32"": 633, ""n_33"": 615, ""n_34"": 597, ""n_35"": 633, ""n_36"": 606, ""n_37"": 624, ""n_38"": 624, ""n_39"": 624, ""n_4"": 624, ""n_40"": 35592, ""n_5"": 606, ""n_6"": 633, ""n_7"": 624, ""n_8"": 633, ""n_9"": 633}",624,633,633,624,606,633,624,633,633,624,624,633,624,606,624,633,615,624,633,633,633,633,606,624,615,615,624,624,633,615,615,633,615,597,633,606,624,624,624,35592,,,,,,,,,,
TS appendix,8,40,ok,200000,113669,86331,113469,69462,44007,1128.38461538,26929.728668,4.21352184416,0.242297744912,"{""n_1"": 1129, ""n_10"": 1129, ""n_11"": 1129, ""n_12"": 1137, ""n_13"": 1129, ""n_14"": 1113, ""n_15"": 1129, ""n_16"": 1137, ""n_17"": 1121, ""n_18"": 1129, ""n_19"": 1137, ""n_2"": 1137, ""n_20"": 1137, ""n_21"": 1137, ""n_22"": 1137, ""n_23"": 1113, ""n_24"": 1129, ""n_25"": 1121, ""n_26"": 1121, ""n_27"": 1129, ""n_28"": 1129, ""n_29"": 1137, ""n_3"": 1137, ""n_30"": 1121, ""n_31"": 1121, ""n_32"": 1137, ""n_33"": 1121, ""n_34"": 1105, ""n_35"": 1137, ""n_36"": 1113, ""n_37"": 1129, ""n_38"": 1129, ""n_39"": 1129, ""n_4"": 1129, ""n_40"": 69462, ""n_5"": 1113, ""n_6"": 1137, ""n_7"": 1129, ""n_8"": 1137, ""n_9"": 1137}",1129,1137,1137,1129,1113,1137,1129,1137,1137,1129,1129,1137,1129,1113,1129,1137,1121,1129,1137,1137,1137,1137,1113,1129,1121,1121,1129,1129,1137,1121,1121,1137,1121,1105,1137,1113,1129,1129,1129,69462,,,,,,,,,,
TS direct,8,40,ok,200000,83198,116802,82998,49713,33285,853.461538462,26929.728668,3.0820213981,0.278850000044,"{""n_1"": 854, ""n_10"": 854, ""n_11"": 854, ""n_12"": 861, ""n_13"": 854, ""n_14"": 840, ""n_15"": 854, ""n_16"": 861, ""n_17"": 847, ""n_18"": 854, ""n_19"": 861, ""n_2"": 861, ""n_20"": 861, ""n_21"": 861, ""n_22"": 861, ""n_23"": 840, ""n_24"": 854, ""n_25"": 847, ""n_26"": 847, ""n_27"": 854, ""n_28"": 854, ""n_29"": 861, ""n_3"": 861, ""n_30"": 847, ""n_31"": 847, ""n_32"": 861, ""n_33"": 847, ""n_34"": 833, ""n_35"": 861, ""n_36"": 840, ""n_37"": 854, ""n_38"": 854, ""n_39"": 854, ""n_4"": 854, ""n_40"": 49713, ""n_5"": 840, ""n_6"": 861, ""n_7"": 854, ""n_8"": 861, ""n_9"": 861}",854,861,861,854,840,861,854,861,861,854,854,861,854,840,854,861,847,854,861,861,861,861,840,854,847,847,854,854,861,847,847,861,847,833,861,840,854,854,854,49713,,,,,,,,,,
UCB appendix,8,50,ok,200000,81840,118160,81590,48742,32848,670.367346939,29009.1708178,2.81255884605,0.19595197888,"{""n_1"": 681, ""n_10"": 681, ""n_11"": 681, ""n_12"": 671, ""n_13"": 652, ""n_14"": 681, ""n_15"": 662, ""n_16"": 681, ""n_17"": 662, ""n_18"": 671, ""n_19"": 662, ""n_2"": 681, ""n_20"": 671, ""n_21"": 681, ""n_22"": 662, ""n_23"": 671, ""n_24"": 662, ""n_25"": 681, ""n_26"": 671, ""n_27"": 681, ""n_28"": 662, ""n_29"": 681, ""n_3"": 681, ""n_30"": 681, ""n_31"": 643, ""n_32"": 662, ""n_33"": 671, ""n_34"": 662, ""n_35"": 652, ""n_36"": 681, ""n_37"": 681, ""n_38"": 681, ""n_39"": 671, ""n_4"": 671, ""n_40"": 671, ""n_41"": 662, ""n_42"": 662, ""n_43"": 671, ""n_44"": 662, ""n_45"": 633, ""n_46"": 662, ""n_47"": 671, ""n_48"": 662, ""n_49"": 671, ""n_5"": 681, ""n_50"": 48742, ""n_6"": 671, ""n_7"": 681, ""n_8"": 681, ""n_9"": 681}",681,681,681,671,681,671,681,681,681,681,681,671,652,681,662,681,662,671,662,671,681,662,671,662,681,671,681,662,681,681,643,662,671,662,652,681,681,681,671,671,662,662,671,662,633,662,671,662,671,48742
UCB direct,8,50,ok,200000,64680,135320,64430,37980,26450,539.795918367,29009.1708178,2.2210217729,0.23173770453,"{""n_1"": 549, ""n_10"": 549, ""n_11"": 549, ""n_12"": 541, ""n_13"": 524, ""n_14"": 549, ""n_15"": 532, ""n_16"": 549, ""n_17"": 532, ""n_18"": 541, ""n_19"": 532, ""n_2"": 549, ""n_20"": 541, ""n_21"": 549, ""n_22"": 532, ""n_23"": 541, ""n_24"": 532, ""n_25"": 549, ""n_26"": 541, ""n_27"": 549, ""n_28"": 532, ""n_29"": 549, ""n_3"": 549, ""n_30"": 549, ""n_31"": 515, ""n_32"": 532, ""n_33"": 541, ""n_34"": 532, ""n_35"": 524, ""n_36"": 549, ""n_37"": 549, ""n_38"": 549, ""n_39"": 541, ""n_4"": 541, ""n_40"": 541, ""n_41"": 532, ""n_42"": 532, ""n_43"": 541, ""n_44"": 532, ""n_45"": 507, ""n_46"": 532, ""n_47"": 541, ""n_48"": 532, ""n_49"": 541, ""n_5"": 549, ""n_50"": 37980, ""n_6"": 541, ""n_7"": 549, ""n_8"": 549, ""n_9"": 549}",549,549,549,541,549,541,549,549,549,549,549,541,524,549,532,549,532,541,532,541,549,532,541,532,549,541,549,532,549,549,515,532,541,532,524,549,549,549,541,541,532,532,541,532,507,532,541,532,541,37980
TS appendix,8,50,ok,200000,124657,75343,124407,75380,49027,1000.55102041,29009.1708178,4.28854036475,0.258363449336,"{""n_1"": 1009, ""n_10"": 1009, ""n_11"": 1009, ""n_12"": 1001, ""n_13"": 986, ""n_14"": 1009, ""n_15"": 994, ""n_16"": 1009, ""n_17"": 994, ""n_18"": 1001, ""n_19"": 994, ""n_2"": 1009, ""n_20"": 1001, ""n_21"": 1009, ""n_22"": 994, ""n_23"": 1001, ""n_24"": 994, ""n_25"": 1009, ""n_26"": 1001, ""n_27"": 1009, ""n_28"": 994, ""n_29"": 1009, ""n_3"": 1009, ""n_30"": 1009, ""n_31"": 978, ""n_32"": 994, ""n_33"": 1001, ""n_34"": 994, ""n_35"": 986, ""n_36"": 1009, ""n_37"": 1009, ""n_38"": 1009, ""n_39"": 1001, ""n_4"": 1001, ""n_40"": 1001, ""n_41"": 994, ""n_42"": 994, ""n_43"": 1001, ""n_44"": 994, ""n_45"": 971, ""n_46"": 994, ""n_47"": 1001, ""n_48"": 994, ""n_49"": 1001, ""n_5"": 1009, ""n_50"": 75380, ""n_6"": 1001, ""n_7"": 1009, ""n_8"": 1009, ""n_9"": 1009}",1009,1009,1009,1001,1009,1001,1009,1009,1009,1009,1009,1001,986,1009,994,1009,994,1001,994,1001,1009,994,1001,994,1009,1001,1009,994,1009,1009,978,994,1001,994,986,1009,1009,1009,1001,1001,994,994,1001,994,971,994,1001,994,1001,75380
TS direct,8,50,ok,200000,88934,111066,88684,52424,36260,740,29009.1708178,3.05710220251,0.30070000004,"{""n_1"": 747, ""n_10"": 747, ""n_11"": 747, ""n_12"": 741, ""n_13"": 728, ""n_14"": 747, ""n_15"": 734, ""n_16"": 747, ""n_17"": 734, ""n_18"": 741, ""n_19"": 734, ""n_2"": 747, ""n_20"": 741, ""n_21"": 747, ""n_22"": 734, ""n_23"": 741, ""n_24"": 734, ""n_25"": 747, ""n_26"": 741, ""n_27"": 747, ""n_28"": 734, ""n_29"": 747, ""n_3"": 747, ""n_30"": 747, ""n_31"": 721, ""n_32"": 734, ""n_33"": 741, ""n_34"": 734, ""n_35"": 728, ""n_36"": 747, ""n_37"": 747, ""n_38"": 747, ""n_39"": 741, ""n_4"": 741, ""n_40"": 741, ""n_41"": 734, ""n_42"": 734, ""n_43"": 741, ""n_44"": 734, ""n_45"": 715, ""n_46"": 734, ""n_47"": 741, ""n_48"": 734, ""n_49"": 741, ""n_5"": 747, ""n_50"": 52424, ""n_6"": 741, ""n_7"": 747, ""n_8"": 747, ""n_9"": 747}",747,747,747,741,747,741,747,747,747,747,747,741,728,747,734,747,734,741,734,741,747,734,741,734,747,741,747,734,747,747,721,734,741,734,728,747,747,747,741,741,734,734,741,734,715,734,741,734,741,52424
UCB appendix,9,5,ok,200000,30680,169320,30655,18807,11848,2962,13464.864334,2.27666608735,0.085950778179,"{""n_1"": 2957, ""n_2"": 2957, ""n_3"": 2977, ""n_4"": 2957, ""n_5"": 18807}",2957,2957,2977,2957,18807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,9,5,ok,200000,27906,172094,27881,17074,10807,2701.75,13464.864334,2.07064841564,0.102303379727,"{""n_1"": 2697, ""n_2"": 2697, ""n_3"": 2716, ""n_4"": 2697, ""n_5"": 17074}",2697,2697,2716,2697,17074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,9,5,ok,200000,48580,151420,48555,32119,16436,4109,13464.864334,3.6060519286,0.122238094955,"{""n_1"": 4105, ""n_2"": 4105, ""n_3"": 4121, ""n_4"": 4105, ""n_5"": 32119}",4105,4105,4121,4105,32119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,9,5,ok,200000,42017,157983,41992,27649,14343,3585.75,13464.864334,3.11863520926,0.130900000074,"{""n_1"": 3582, ""n_2"": 3582, ""n_3"": 3597, ""n_4"": 3582, ""n_5"": 27649}",3582,3582,3597,3582,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,9,10,ok,200000,41913,158087,41863,25664,16199,1799.88888889,16964.6660084,2.46765836588,0.113725591549,"{""n_1"": 1805, ""n_10"": 25664, ""n_2"": 1805, ""n_3"": 1821, ""n_4"": 1774, ""n_5"": 1821, ""n_6"": 1774, ""n_7"": 1789, ""n_8"": 1805, ""n_9"": 1805}",1805,1805,1821,1774,1821,1774,1789,1805,1805,25664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,9,10,ok,200000,36892,163108,36842,22386,14456,1606.22222222,16964.6660084,2.17169026385,0.132848198098,"{""n_1"": 1611, ""n_10"": 22386, ""n_2"": 1611, ""n_3"": 1626, ""n_4"": 1582, ""n_5"": 1626, ""n_6"": 1582, ""n_7"": 1596, ""n_8"": 1611, ""n_9"": 1611}",1611,1611,1626,1582,1626,1582,1596,1611,1611,22386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,9,10,ok,200000,64838,135162,64788,41859,22929,2547.66666667,16964.6660084,3.81899649353,0.157083730679,"{""n_1"": 2552, ""n_10"": 41859, ""n_2"": 2552, ""n_3"": 2564, ""n_4"": 2527, ""n_5"": 2564, ""n_6"": 2527, ""n_7"": 2539, ""n_8"": 2552, ""n_9"": 2552}",2552,2552,2564,2527,2564,2527,2539,2552,2552,41859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,9,10,ok,200000,53634,146366,53584,34366,19218,2135.33333333,16964.6660084,3.15856498286,0.171650000066,"{""n_1"": 2139, ""n_10"": 34366, ""n_2"": 2139, ""n_3"": 2151, ""n_4"": 2116, ""n_5"": 2151, ""n_6"": 2116, ""n_7"": 2128, ""n_8"": 2139, ""n_9"": 2139}",2139,2139,2151,2116,2151,2116,2128,2139,2139,34366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,9,15,ok,200000,49828,150172,49753,30372,19381,1384.35714286,19419.6948,2.56198671052,0.13183842645,"{""n_1"": 1398, ""n_10"": 1371, ""n_11"": 1371, ""n_12"": 1384, ""n_13"": 1371, ""n_14"": 1384, ""n_15"": 30372, ""n_2"": 1398, ""n_3"": 1371, ""n_4"": 1398, ""n_5"": 1384, ""n_6"": 1371, ""n_7"": 1398, ""n_8"": 1398, ""n_9"": 1384}",1398,1398,1371,1398,1384,1371,1398,1398,1384,1371,1371,1384,1371,1384,30372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,9,15,ok,200000,42891,157109,42816,25918,16898,1207,19419.6948,2.2047720338,0.153851699698,"{""n_1"": 1220, ""n_10"": 1194, ""n_11"": 1194, ""n_12"": 1207, ""n_13"": 1194, ""n_14"": 1207, ""n_15"": 25918, ""n_2"": 1220, ""n_3"": 1194, ""n_4"": 1220, ""n_5"": 1207, ""n_6"": 1194, ""n_7"": 1220, ""n_8"": 1220, ""n_9"": 1207}",1220,1220,1194,1220,1207,1194,1220,1220,1207,1194,1194,1207,1194,1207,25918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,9,15,ok,200000,76409,123591,76334,48600,27734,1981,19419.6948,3.93075178504,0.179621428403,"{""n_1"": 1992, ""n_10"": 1970, ""n_11"": 1970, ""n_12"": 1981, ""n_13"": 1970, ""n_14"": 1981, ""n_15"": 48600, ""n_2"": 1992, ""n_3"": 1970, ""n_4"": 1992, ""n_5"": 1981, ""n_6"": 1970, ""n_7"": 1992, ""n_8"": 1992, ""n_9"": 1981}",1992,1992,1970,1992,1981,1970,1992,1992,1981,1970,1970,1981,1970,1981,48600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,9,15,ok,200000,61317,138683,61242,38492,22750,1625,19419.6948,3.15360259936,0.19845000006,"{""n_1"": 1635, ""n_10"": 1615, ""n_11"": 1615, ""n_12"": 1625, ""n_13"": 1615, ""n_14"": 1625, ""n_15"": 38492, ""n_2"": 1635, ""n_3"": 1615, ""n_4"": 1635, ""n_5"": 1625, ""n_6"": 1615, ""n_7"": 1635, ""n_8"": 1635, ""n_9"": 1625}",1635,1635,1615,1635,1625,1615,1635,1635,1625,1615,1615,1625,1615,1625,38492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,9,20,ok,200000,56192,143808,56092,34104,21988,1157.26315789,21374.1398084,2.6242927436,0.145677303113,"{""n_1"": 1168, ""n_10"": 1168, ""n_11"": 1155, ""n_12"": 1168, ""n_13"": 1168, ""n_14"": 1143, ""n_15"": 1155, ""n_16"": 1168, ""n_17"": 1143, ""n_18"": 1168, ""n_19"": 1155, ""n_2"": 1155, ""n_20"": 34104, ""n_3"": 1155, ""n_4"": 1168, ""n_5"": 1155, ""n_6"": 1168, ""n_7"": 1155, ""n_8"": 1143, ""n_9"": 1130}",1168,1155,1155,1168,1155,1168,1155,1143,1130,1168,1155,1168,1168,1143,1155,1168,1143,1168,1155,34104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,9,20,ok,200000,47527,152473,47427,28645,18782,988.526315789,21374.1398084,2.21889631232,0.170465871078,"{""n_1"": 998, ""n_10"": 998, ""n_11"": 987, ""n_12"": 998, ""n_13"": 998, ""n_14"": 975, ""n_15"": 987, ""n_16"": 998, ""n_17"": 975, ""n_18"": 998, ""n_19"": 987, ""n_2"": 987, ""n_20"": 28645, ""n_3"": 987, ""n_4"": 998, ""n_5"": 987, ""n_6"": 998, ""n_7"": 987, ""n_8"": 975, ""n_9"": 964}",998,987,987,998,987,998,987,975,964,998,987,998,998,975,987,998,975,998,987,28645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,9,20,ok,200000,85819,114181,85719,53978,31741,1670.57894737,21374.1398084,4.01040700437,0.196755072397,"{""n_1"": 1679, ""n_10"": 1679, ""n_11"": 1669, ""n_12"": 1679, ""n_13"": 1679, ""n_14"": 1659, ""n_15"": 1669, ""n_16"": 1679, ""n_17"": 1659, ""n_18"": 1679, ""n_19"": 1669, ""n_2"": 1669, ""n_20"": 53978, ""n_3"": 1669, ""n_4"": 1679, ""n_5"": 1669, ""n_6"": 1679, ""n_7"": 1669, ""n_8"": 1659, ""n_9"": 1649}",1679,1669,1669,1679,1669,1679,1669,1659,1649,1679,1669,1679,1679,1659,1669,1679,1659,1679,1669,53978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,9,20,ok,200000,67231,132769,67131,41910,25221,1327.42105263,21374.1398084,3.1407579721,0.220900000056,"{""n_1"": 1335, ""n_10"": 1335, ""n_11"": 1326, ""n_12"": 1335, ""n_13"": 1335, ""n_14"": 1317, ""n_15"": 1326, ""n_16"": 1335, ""n_17"": 1317, ""n_18"": 1335, ""n_19"": 1326, ""n_2"": 1326, ""n_20"": 41910, ""n_3"": 1326, ""n_4"": 1335, ""n_5"": 1326, ""n_6"": 1335, ""n_7"": 1326, ""n_8"": 1317, ""n_9"": 1308}",1335,1326,1326,1335,1326,1335,1326,1317,1308,1335,1326,1335,1335,1317,1326,1335,1317,1335,1326,41910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,9,30,ok,200000,66361,133639,66211,39995,26216,904,24467.282261,2.70610357512,0.166648714667,"{""n_1"": 893, ""n_10"": 904, ""n_11"": 904, ""n_12"": 904, ""n_13"": 915, ""n_14"": 893, ""n_15"": 904, ""n_16"": 904, ""n_17"": 915, ""n_18"": 882, ""n_19"": 893, ""n_2"": 915, ""n_20"": 893, ""n_21"": 915, ""n_22"": 904, ""n_23"": 904, ""n_24"": 893, ""n_25"": 904, ""n_26"": 904, ""n_27"": 893, ""n_28"": 915, ""n_29"": 882, ""n_3"": 915, ""n_30"": 39995, ""n_4"": 915, ""n_5"": 915, ""n_6"": 915, ""n_7"": 904, ""n_8"": 904, ""n_9"": 915}",893,915,915,915,915,915,904,904,915,904,904,904,915,893,904,904,915,882,893,893,915,904,904,893,904,904,893,915,882,39995,,,,,,,,,,,,,,,,,,,,
UCB direct,9,30,ok,200000,54602,145398,54452,32441,22011,759,24467.282261,2.22550258828,0.194835787913,"{""n_1"": 749, ""n_10"": 759, ""n_11"": 759, ""n_12"": 759, ""n_13"": 769, ""n_14"": 749, ""n_15"": 759, ""n_16"": 759, ""n_17"": 769, ""n_18"": 739, ""n_19"": 749, ""n_2"": 769, ""n_20"": 749, ""n_21"": 769, ""n_22"": 759, ""n_23"": 759, ""n_24"": 749, ""n_25"": 759, ""n_26"": 759, ""n_27"": 749, ""n_28"": 769, ""n_29"": 739, ""n_3"": 769, ""n_30"": 32441, ""n_4"": 769, ""n_5"": 769, ""n_6"": 769, ""n_7"": 759, ""n_8"": 759, ""n_9"": 769}",749,769,769,769,769,769,759,759,769,759,759,759,769,749,759,759,769,739,749,749,769,759,759,749,759,759,749,769,739,32441,,,,,,,,,,,,,,,,,,,,
TS appendix,9,30,ok,200000,101082,98918,100932,62546,38386,1323.65517241,24467.282261,4.12518231176,0.222613734992,"{""n_1"": 1315, ""n_10"": 1324, ""n_11"": 1324, ""n_12"": 1324, ""n_13"": 1332, ""n_14"": 1315, ""n_15"": 1324, ""n_16"": 1324, ""n_17"": 1332, ""n_18"": 1306, ""n_19"": 1315, ""n_2"": 1332, ""n_20"": 1315, ""n_21"": 1332, ""n_22"": 1324, ""n_23"": 1324, ""n_24"": 1315, ""n_25"": 1324, ""n_26"": 1324, ""n_27"": 1315, ""n_28"": 1332, ""n_29"": 1306, ""n_3"": 1332, ""n_30"": 62546, ""n_4"": 1332, ""n_5"": 1332, ""n_6"": 1332, ""n_7"": 1324, ""n_8"": 1324, ""n_9"": 1332}",1315,1332,1332,1332,1332,1332,1324,1324,1332,1324,1324,1324,1332,1315,1324,1324,1332,1306,1315,1315,1332,1324,1324,1315,1324,1324,1315,1332,1306,62546,,,,,,,,,,,,,,,,,,,,
TS direct,9,30,ok,200000,76252,123748,76102,46261,29841,1029,24467.282261,3.11035770905,0.252700000049,"{""n_1"": 1021, ""n_10"": 1029, ""n_11"": 1029, ""n_12"": 1029, ""n_13"": 1037, ""n_14"": 1021, ""n_15"": 1029, ""n_16"": 1029, ""n_17"": 1037, ""n_18"": 1013, ""n_19"": 1021, ""n_2"": 1037, ""n_20"": 1021, ""n_21"": 1037, ""n_22"": 1029, ""n_23"": 1029, ""n_24"": 1021, ""n_25"": 1029, ""n_26"": 1029, ""n_27"": 1021, ""n_28"": 1037, ""n_29"": 1013, ""n_3"": 1037, ""n_30"": 46261, ""n_4"": 1037, ""n_5"": 1037, ""n_6"": 1037, ""n_7"": 1029, ""n_8"": 1029, ""n_9"": 1037}",1021,1037,1037,1037,1037,1037,1029,1029,1037,1029,1029,1029,1037,1021,1029,1029,1037,1013,1021,1021,1037,1029,1029,1021,1029,1029,1021,1037,1013,46261,,,,,,,,,,,,,,,,,,,,
UCB appendix,9,40,ok,200000,74646,125354,74446,44719,29727,762.230769231,26929.728668,2.76445414351,0.182734002382,"{""n_1"": 773, ""n_10"": 773, ""n_11"": 773, ""n_12"": 763, ""n_13"": 773, ""n_14"": 773, ""n_15"": 763, ""n_16"": 763, ""n_17"": 773, ""n_18"": 743, ""n_19"": 753, ""n_2"": 773, ""n_20"": 763, ""n_21"": 743, ""n_22"": 753, ""n_23"": 763, ""n_24"": 753, ""n_25"": 753, ""n_26"": 773, ""n_27"": 763, ""n_28"": 743, ""n_29"": 773, ""n_3"": 773, ""n_30"": 753, ""n_31"": 753, ""n_32"": 773, ""n_33"": 773, ""n_34"": 773, ""n_35"": 743, ""n_36"": 763, ""n_37"": 753, ""n_38"": 753, ""n_39"": 733, ""n_4"": 773, ""n_40"": 44719, ""n_5"": 773, ""n_6"": 763, ""n_7"": 773, ""n_8"": 763, ""n_9"": 763}",773,773,773,773,773,763,773,763,763,773,773,763,773,773,763,763,773,743,753,763,743,753,763,753,753,773,763,743,773,753,753,773,773,773,743,763,753,753,733,44719,,,,,,,,,,
UCB direct,9,40,ok,200000,60101,139899,59901,35592,24309,623.307692308,26929.728668,2.2243447284,0.215315739971,"{""n_1"": 633, ""n_10"": 633, ""n_11"": 633, ""n_12"": 624, ""n_13"": 633, ""n_14"": 633, ""n_15"": 624, ""n_16"": 624, ""n_17"": 633, ""n_18"": 606, ""n_19"": 615, ""n_2"": 633, ""n_20"": 624, ""n_21"": 606, ""n_22"": 615, ""n_23"": 624, ""n_24"": 615, ""n_25"": 615, ""n_26"": 633, ""n_27"": 624, ""n_28"": 606, ""n_29"": 633, ""n_3"": 633, ""n_30"": 615, ""n_31"": 615, ""n_32"": 633, ""n_33"": 633, ""n_34"": 633, ""n_35"": 606, ""n_36"": 624, ""n_37"": 615, ""n_38"": 615, ""n_39"": 597, ""n_4"": 633, ""n_40"": 35592, ""n_5"": 633, ""n_6"": 624, ""n_7"": 633, ""n_8"": 624, ""n_9"": 624}",633,633,633,633,633,624,633,624,624,633,633,624,633,633,624,624,633,606,615,624,606,615,624,615,615,633,624,606,633,615,615,633,633,633,606,624,615,615,597,35592,,,,,,,,,,
