algorithm,repeat,K,T,status,cost,native_cost,cost_definition,target_ratio,post_phase_ratio,target_pulls,non_target_pulls,clipped_cost,requested_cost
Zuo2024 clipped TS,4,5,200000,failed,44754,44754,online reward-lowering modification count clipped at r_l,0.728305,,145661,54339,7.163335020852019e+17,7.163335020852453e+17
Xu2021 observation-free UCB,4,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Xu2021 observation-free TS,4,5,200000,infeasible,,439420.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,439420.0
Our offline UCB,4,10,200000,ok,36919.0,36919.0,injected samples,1.0,,163031,0,0.0,36919.0
Our offline TS,4,10,200000,ok,53641.0,53641.0,injected samples,1.0,,146309,0,0.0,53641.0
Jun2018 clipped UCB,4,10,200000,failed,119999,119999,online reward-lowering modification count clipped at r_l,0.241955,,48391,151609,56376862.681684084,56496861.68168387
Zuo2024 clipped TS,4,10,200000,failed,85969,85969,online reward-lowering modification count clipped at r_l,0.456895,,91379,108621,1.272169916453508e+18,1.272169916453594e+18
Xu2021 observation-free UCB,4,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Xu2021 observation-free TS,4,10,200000,infeasible,,878838.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,878838.0
Our offline UCB,4,15,200000,ok,42794.0,42794.0,injected samples,1.0,,157131,0,0.0,42794.0
Our offline TS,4,15,200000,ok,61227.0,61227.0,injected samples,1.0,,138698,0,0.0,61227.0
Jun2018 clipped UCB,4,15,200000,failed,138894,138894,online reward-lowering modification count clipped at r_l,0.13683,,27366,172634,61843501.19061498,61982395.19061496
Zuo2024 clipped TS,4,15,200000,failed,112605,112605,online reward-lowering modification count clipped at r_l,0.2999,,59980,140020,1.3590462663895644e+18,1.3590462663896776e+18
Xu2021 observation-free UCB,4,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Xu2021 observation-free TS,4,15,200000,infeasible,,1318256.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1318256.0
Our offline UCB,4,20,200000,ok,47456.0,47456.0,injected samples,1.0,,152444,0,0.0,47456.0
Our offline TS,4,20,200000,ok,67152.0,67152.0,injected samples,1.0,,132748,0,0.0,67152.0
Jun2018 clipped UCB,4,20,200000,failed,145813,145813,online reward-lowering modification count clipped at r_l,0.101135,,20227,179773,56331670.04534647,56477483.04534662
Zuo2024 clipped TS,4,20,200000,failed,128172,128172,online reward-lowering modification count clipped at r_l,0.21038,,42076,157924,1.2738786009752036e+18,1.273878600975335e+18
Xu2021 observation-free UCB,4,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Xu2021 observation-free TS,4,20,200000,infeasible,,1757676.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,1757676.0
Our offline UCB,4,30,200000,ok,54444.0,54444.0,injected samples,1.0,,145406,0,0.0,54444.0
Our offline TS,4,30,200000,ok,76096.0,76096.0,injected samples,1.0,,123754,0,0.0,76096.0
Jun2018 clipped UCB,4,30,200000,failed,149670,149670,online reward-lowering modification count clipped at r_l,0.056735,,11347,188653,53776950.555007204,53926620.55500708
Zuo2024 clipped TS,4,30,200000,failed,143461,143461,online reward-lowering modification count clipped at r_l,0.09804,,19608,180392,1.0890381425426679e+18,1.0890381425428115e+18
Xu2021 observation-free UCB,4,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Xu2021 observation-free TS,4,30,200000,infeasible,,2636512.0,corrupted rounds; not simulated because native cost exceeds horizon,,,,,0.0,2636512.0
Our offline UCB,4,40,200000,ok,59901.0,59901.0,injected samples,1.0,,139899,0,0.0,59901.0
Our offline TS,4,40,200000,ok,82998.0,82998.0,injected samples,1.0,,116802,0,0.0,82998.0
Jun2018 clipped UCB,4,40,200000,failed,151229,151229,online reward-lowering modification count clipped at r_l,0.043545,,8709,191291,45461337.747550376,45612566.74755029
